angle(rad) period(s) xerr yerr
1.284562329	1.767 0.0008 0.02
-1.057669527 1.667 0.0008 0.02
1.021017612	1.7 0.0008 0.02
0.918043187	1.702 0.0008 0.02
-0.855211333 1.667 0.0008 0.02
0.802851456	1.635 0.0008 0.02
-0.733038286 1.635 0.0008 0.02
0.633554518	1.6 0.0008 0.02
-0.507890812 1.6 0.0008 0.02
0.628318531	1.6 0.0008 0.02
-0.472984227 1.6 0.0008 0.02
-0.485201532 1.6 0.0008 0.02
-0.375245789 1.6 0.0008 0.02
-0.413643033 1.633 0.0008 0.02
-0.253072742 1.567 0.0008 0.02
0.289724656	1.6 0.0008 0.02
1.315978256	1.703 0.0008 0.02
-1.30725161	1.77 0.0008 0.02
-0.900589894 1.668 0.0008 0.02
-1.031489588 1.735 0.0008 0.02
-1.054178868 1.72 0.0008 0.02
1.094321441	1.733 0.0008 0.02
1.157153294	1.733 0.0008 0.02
