t	amplitude xerr yerr
0.000	-0.285 0.0008 0.008
3.333E-2	-0.283 0.0008 0.008
6.667E-2	-0.279 0.0008 0.008
1.000E-1	-0.273 0.0008 0.008
0.133	-0.266 0.0008 0.008
0.167	-0.256 0.0008 0.008
0.200	-0.244 0.0008 0.008
0.233	-0.230 0.0008 0.008
0.267	-0.215 0.0008 0.008
0.300	-0.197 0.0008 0.008
0.333	-0.178 0.0008 0.008
0.367	-0.159 0.0008 0.008
0.400	-0.139 0.0008 0.008
0.433	-0.117 0.0008 0.008
0.467	-9.379E-2 0.0008 0.008
0.500	-7.057E-2 0.0008 0.008
0.533	-4.685E-2 0.0008 0.008
0.567	-2.279E-2 0.0008 0.008
0.600	1.340E-3 0.0008 0.008
0.633	2.536E-2 0.0008 0.008
0.667	4.929E-2 0.0008 0.008
0.700	7.238E-2 0.0008 0.008
0.733	9.502E-2 0.0008 0.008
0.767	0.117 0.0008 0.008
0.800	0.138 0.0008 0.008
0.833	0.158 0.0008 0.008
0.867	0.177 0.0008 0.008
0.900	0.194 0.0008 0.008
0.933	0.210 0.0008 0.008
0.967	0.224 0.0008 0.008
1.000	0.236 0.0008 0.008
1.033	0.248 0.0008 0.008
1.067	0.257 0.0008 0.008
1.100	0.264 0.0008 0.008
1.133	0.269 0.0008 0.008
1.167	0.273 0.0008 0.008
1.200	0.274 0.0008 0.008
1.233	0.273 0.0008 0.008
1.267	0.271 0.0008 0.008
1.300	0.266 0.0008 0.008
1.333	0.260 0.0008 0.008
1.367	0.252 0.0008 0.008
1.400	0.242 0.0008 0.008
1.433	0.230 0.0008 0.008
1.467	0.216 0.0008 0.008
1.500	0.201 0.0008 0.008
1.533	0.184 0.0008 0.008
1.567	0.165 0.0008 0.008
1.600	0.146 0.0008 0.008
1.633	0.125 0.0008 0.008
1.667	0.104 0.0008 0.008
1.700	8.186E-2 0.0008 0.008
1.733	5.917E-2 0.0008 0.008
1.767	3.544E-2 0.0008 0.008
1.800	1.160E-2 0.0008 0.008
1.833	-1.275E-2 0.0008 0.008
1.867	-3.679E-2 0.0008 0.008
1.900	-6.018E-2 0.0008 0.008
1.933	-8.378E-2 0.0008 0.008
1.967	-0.107 0.0008 0.008
2.000	-0.128 0.0008 0.008
2.033	-0.149 0.0008 0.008
2.067	-0.169 0.0008 0.008
2.100	-0.187 0.0008 0.008
2.133	-0.205 0.0008 0.008
2.167	-0.220 0.0008 0.008
2.200	-0.234 0.0008 0.008
2.233	-0.247 0.0008 0.008
2.267	-0.257 0.0008 0.008
2.300	-0.265 0.0008 0.008
2.333	-0.272 0.0008 0.008
2.367	-0.276 0.0008 0.008
2.400	-0.278 0.0008 0.008
2.433	-0.278 0.0008 0.008
2.467	-0.276 0.0008 0.008
2.500	-0.272 0.0008 0.008
2.533	-0.266 0.0008 0.008
2.567	-0.258 0.0008 0.008
2.600	-0.248 0.0008 0.008
2.633	-0.236 0.0008 0.008
2.667	-0.221 0.0008 0.008
2.700	-0.206 0.0008 0.008
2.733	-0.189 0.0008 0.008
2.767	-0.171 0.0008 0.008
2.800	-0.152 0.0008 0.008
2.833	-0.131 0.0008 0.008
2.867	-0.110 0.0008 0.008
