t_{1}	amp 0.0008 0.008
0.0	-0.29042339407279855 0.0008 0.008
0.03333333333332848	-0.2896802305735728 0.0008 0.008
0.06666666666666424	-0.2866922981659518 0.0008 0.008
0.09999999999999636	-0.28164047282747484 0.0008 0.008
0.1333333333333321	-0.2734445635337228 0.0008 0.008
0.16666666666666424	-0.2634613250628302 0.0008 0.008
0.19999999999999638	-0.2517366535662834 0.0008 0.008
0.23333333333332848	-0.2376899380348328 0.0008 0.008
0.2666666666666642	-0.22184219705397135 0.0008 0.008
0.3	-0.20436859421899303 0.0008 0.008
0.3333333333333321	-0.1845858264962707 0.0008 0.008
0.36666666666666425	-0.16294289281590307 0.0008 0.008
0.39999999999999636	-0.14059940536730067 0.0008 0.008
0.4333333333333321	-0.11752367996679748 0.0008 0.008
0.46666666666666423	-0.09409048567598494 0.0008 0.008
0.5	-0.06878088140978775 0.0008 0.008
0.5333333333333284	-0.0438082605190075 0.0008 0.008
0.5666666666666642	-0.01788168484624514 0.0008 0.008
0.5999999999999963	0.007989425727941276 0.0008 0.008
0.6349999999999963	0.0334964186548971 0.0008 0.008
0.6683333333333321	0.058684204705011775 0.0008 0.008
0.7016666666666642	0.08274734708424197 0.0008 0.008
0.7349999999999963	0.10618961418638942 0.0008 0.008
0.7683333333333284	0.1284001601098223 0.0008 0.008
0.8016666666666642	0.14978613831717105 0.0008 0.008
0.835	0.16924385271545664 0.0008 0.008
0.8683333333333321	0.18768611737483396 0.0008 0.008
0.9016666666666643	0.20439624973620646 0.0008 0.008
0.9349999999999964	0.2186676906894258 0.0008 0.008
0.9683333333333322	0.23186630475901182 0.0008 0.008
1.0016666666666643	0.24266717231718685 0.0008 0.008
1.035	0.2514783327626378 0.0008 0.008
1.0683333333333285	0.258187408932851 0.0008 0.008
1.1016666666666644	0.2625834121000766 0.0008 0.008
1.1349999999999965	0.26441338926147034 0.0008 0.008
1.1683333333333321	0.26433854445830696 0.0008 0.008
1.2016666666666642	0.2618970366460038 0.0008 0.008
1.2349999999999963	0.2572108055047242 0.0008 0.008
1.2683333333333284	0.25066335220676395 0.0008 0.008
1.3016666666666643	0.24192886717179815 0.0008 0.008
1.335	0.23112270986250136 0.0008 0.008
1.368333333333332	0.21799089679188205 0.0008 0.008
1.4016666666666642	0.20256908223881023 0.0008 0.008
1.4349999999999963	0.18590925397221492 0.0008 0.008
1.4683333333333322	0.16720671566829098 0.0008 0.008
1.5016666666666643	0.14807004320658373 0.0008 0.008
1.535	0.1269466487004348 0.0008 0.008
1.5683333333333285	0.10444678651792906 0.0008 0.008
1.6016666666666644	0.08097018700427173 0.0008 0.008
1.6349999999999965	0.05702490360032481 0.0008 0.008
1.6683333333333321	0.03276390275458464 0.0008 0.008
1.7016666666666642	0.007714912999462179 0.0008 0.008
1.7349999999999963	-0.017727131306971688 0.0008 0.008
1.7683333333333284	-0.04308822535402694 0.0008 0.008
1.8016666666666643	-0.0678610813833516 0.0008 0.008
1.835	-0.09275411735162459 0.0008 0.008
1.868333333333332	-0.11671722539283642 0.0008 0.008
1.9016666666666642	-0.13860612223208074 0.0008 0.008
1.9349999999999963	-0.16131225134637306 0.0008 0.008
1.9683333333333322	-0.18262712574847717 0.0008 0.008
2.0016666666666643	-0.20172411667020212 0.0008 0.008
2.035	-0.21838943038367686 0.0008 0.008
2.0683333333333285	-0.23417455299598097 0.0008 0.008
2.1016666666666644	-0.2476202696180119 0.0008 0.008
2.1349999999999962	-0.2589499163661319 0.0008 0.008
2.168333333333332	-0.2690214846451634 0.0008 0.008
2.2016666666666644	-0.2765428918629073 0.0008 0.008
2.2349999999999963	-0.28202865086513257 0.0008 0.008
2.2683333333333286	-0.2851219242301751 0.0008 0.008
2.301666666666664	-0.28564396635234174 0.0008 0.008
2.335	-0.2840994118231055 0.0008 0.008
2.3683333333333323	-0.279655070848393 0.0008 0.008
2.401666666666664	-0.27297781049273107 0.0008 0.008
2.4349999999999965	-0.26461898821669505 0.0008 0.008
2.468333333333332	-0.2532218914868743 0.0008 0.008
2.5016666666666643	-0.24136285308208402 0.0008 0.008
2.535	-0.22651768800771652 0.0008 0.008
2.5683333333333285	-0.2091060075406491 0.0008 0.008
2.6016666666666644	-0.1902650501943151 0.0008 0.008
