t_{1}	func 0.0008 0.008
0.0	-0.2979463950931663 0.0008 0.008
0.03333333333333212	-0.2978866495417049 0.0008 0.008
0.06666666666666606	-0.29427385579966275 0.0008 0.008
0.1	-0.2841517971061919 0.0008 0.008
0.1333333333333321	-0.26939715426446303 0.0008 0.008
0.16666666666666605	-0.251533613824809 0.0008 0.008
0.19999999999999818	-0.22749683649174585 0.0008 0.008
0.23333333333333212	-0.20190243254973417 0.0008 0.008
0.26666666666666605	-0.17237839187948603 0.0008 0.008
0.29999999999999816	-0.14141251204989583 0.0008 0.008
0.3333333333333321	-0.10778067020367856 0.0008 0.008
0.3666666666666661	-0.07319246813105638 0.0008 0.008
0.4	-0.038215586094105795 0.0008 0.008
0.43333333333333396	-0.003316819072650432 0.0008 0.008
0.46666666666666606	0.032676639429168076 0.0008 0.008
0.5	0.06523132038180059 0.0008 0.008
0.5333333333333321	0.09701288348149842 0.0008 0.008
0.5666666666666661	0.1265138911852296 0.0008 0.008
0.6	0.15299797929585282 0.0008 0.008
0.6333333333333321	0.17655262547351944 0.0008 0.008
0.6666666666666661	0.19730257466203102 0.0008 0.008
0.6999999999999982	0.21318935180974147 0.0008 0.008
0.7333333333333322	0.22599692001533536 0.0008 0.008
0.766666666666666	0.23387442468147757 0.0008 0.008
0.7999999999999982	0.23760816534539395 0.0008 0.008
0.8333333333333339	0.23728342697340998 0.0008 0.008
0.866666666666666	0.23189027600197076 0.0008 0.008
0.9	0.22306014588734518 0.0008 0.008
0.9333333333333339	0.21011901104298744 0.0008 0.008
0.966666666666666	0.1918761480421211 0.0008 0.008
1.0	0.17036773533268826 0.0008 0.008
1.033333333333332	0.145089436380168 0.0008 0.008
1.066666666666666	0.11772557042597329 0.0008 0.008
1.1	0.08710456640529897 0.0008 0.008
1.1333333333333322	0.0550215504893955 0.0008 0.008
1.1666666666666679	0.020333938330860876 0.0008 0.008
1.1999999999999982	-0.01455037922017257 0.0008 0.008
1.2333333333333338	-0.05094248545437248 0.0008 0.008
1.2666666666666662	-0.08691312921785598 0.0008 0.008
1.3	-0.12120411522090874 0.0008 0.008
1.3333333333333321	-0.1529564172531933 0.0008 0.008
1.366666666666666	-0.18425035929481254 0.0008 0.008
1.3999999999999981	-0.21115124062593366 0.0008 0.008
1.433333333333334	-0.23670066692692768 0.0008 0.008
1.4666666666666661	-0.2582174854016246 0.0008 0.008
1.4999999999999982	-0.275200708560191 0.0008 0.008
1.5333333333333303	-0.28744368136170745 0.0008 0.008
1.566666666666666	-0.2943839632404583 0.0008 0.008
1.6000000000000019	-0.2973984381339977 0.0008 0.008
1.633333333333334	-0.2965686748205348 0.0008 0.008
1.666666666666666	-0.28883646140388297 0.0008 0.008
1.6999999999999982	-0.2778886407058937 0.0008 0.008
1.7333333333333338	-0.2616647901349288 0.0008 0.008
1.7666666666666662	-0.24148708357459853 0.0008 0.008
1.8000000000000018	-0.21758712703405356 0.0008 0.008
1.8333333333333304	-0.19106795125809495 0.0008 0.008
1.866666666666666	-0.16086741790357956 0.0008 0.008
1.8999999999999981	-0.12869658332034495 0.0008 0.008
1.933333333333334	-0.09582175227452425 0.0008 0.008
1.9666666666666661	-0.06060313741174986 0.0008 0.008
1.9999999999999982	-0.024553845411145792 0.0008 0.008
2.03333333333333	0.00948817995713357 0.0008 0.008
2.066666666666666	0.042978216737327726 0.0008 0.008
2.100000000000002	0.07566438210969449 0.0008 0.008
2.1333333333333337	0.1062883501381044 0.0008 0.008
2.166666666666666	0.13507066583365646 0.0008 0.008
2.1999999999999984	0.16053923841234163 0.0008 0.008
2.233333333333334	0.18278466586844158 0.0008 0.008
2.266666666666666	0.2006923688145563 0.0008 0.008
2.3000000000000016	0.21546650973846138 0.0008 0.008
2.3333333333333304	0.2265592698837079 0.0008 0.008
2.3666666666666663	0.23215864643953354 0.0008 0.008
2.399999999999998	0.23433360944889814 0.0008 0.008
2.433333333333334	0.23222513702894967 0.0008 0.008
2.466666666666666	0.22518144612070842 0.0008 0.008
2.4999999999999982	0.21426369567408157 0.0008 0.008
2.53333333333333	0.19928664221271025 0.0008 0.008
2.566666666666666	0.17933371218874897 0.0008 0.008
2.600000000000002	0.15758423760409984 0.0008 0.008
2.6333333333333337	0.13059810564191435 0.0008 0.008
2.666666666666666	0.1011029827072999 0.0008 0.008
2.6999999999999984	0.07095713971166479 0.0008 0.008
2.733333333333334	0.038089386357763454 0.0008 0.008
2.766666666666666	0.002318812836805894 0.0008 0.008
2.8000000000000016	-0.03225326612638438 0.0008 0.008
2.8333333333333304	-0.06856561258645615 0.0008 0.008
2.8683333333333305	-0.1028800237248904 0.0008 0.008
2.901666666666666	-0.1377273804362654 0.0008 0.008
2.9349999999999983	-0.16966328772745196 0.0008 0.008
2.968333333333334	-0.19867174106387323 0.0008 0.008
3.001666666666666	-0.22704723891914766 0.0008 0.008
3.0349999999999984	-0.25080463863728575 0.0008 0.008
3.0683333333333302	-0.2694827560551536 0.0008 0.008
3.101666666666666	-0.2855166326600027 0.0008 0.008
3.135000000000002	-0.2952977463269791 0.0008 0.008
3.168333333333334	-0.30151356792499806 0.0008 0.008
3.201666666666666	-0.3024462628839771 0.0008 0.008
3.234999999999998	-0.29847634722634925 0.0008 0.008
3.268333333333334	-0.29011049497405533 0.0008 0.008
3.301666666666666	-0.2757826344596722 0.0008 0.008
3.3350000000000017	-0.25722699164422635 0.0008 0.008
3.3683333333333305	-0.23575725395364575 0.0008 0.008
3.401666666666666	-0.21010364171627052 0.0008 0.008
3.4349999999999983	-0.18143550056281302 0.0008 0.008
3.468333333333334	-0.14838711192211615 0.0008 0.008
3.501666666666666	-0.11708935254898778 0.0008 0.008
3.5349999999999984	-0.08226597683539777 0.0008 0.008
3.5683333333333302	-0.04642085151673681 0.0008 0.008
3.601666666666666	-0.012312289565972877 0.0008 0.008
3.635000000000002	0.021747617355550523 0.0008 0.008
3.668333333333334	0.056297927406155794 0.0008 0.008
3.701666666666666	0.0880788342724838 0.0008 0.008
3.734999999999998	0.11717424154397305 0.0008 0.008
3.768333333333334	0.14457921738589516 0.0008 0.008
3.801666666666666	0.16794460696942745 0.0008 0.008
3.8350000000000017	0.1881602621295379 0.0008 0.008
3.8683333333333305	0.20603732858783205 0.0008 0.008
3.901666666666666	0.21873305575715743 0.0008 0.008
3.9349999999999983	0.22645620595193183 0.0008 0.008
3.968333333333334	0.23176937365049757 0.0008 0.008
4.001666666666666	0.23204359492205426 0.0008 0.008
4.034999999999998	0.22708092222353873 0.0008 0.008
4.068333333333331	0.21923978704533556 0.0008 0.008
4.101666666666666	0.20681827845280915 0.0008 0.008
4.135000000000002	0.19037846794968694 0.0008 0.008
4.168333333333334	0.17012509150158198 0.0008 0.008
4.201666666666666	0.14505829243114743 0.0008 0.008
4.2349999999999985	0.11833255223364268 0.0008 0.008
4.2683333333333335	0.08885117266657047 0.0008 0.008
4.301666666666666	0.056342088942645106 0.0008 0.008
4.335000000000002	0.02399874179843315 0.0008 0.008
4.3683333333333305	-0.01222532143872784 0.0008 0.008
4.401666666666666	-0.0465292352158666 0.0008 0.008
4.434999999999998	-0.08129063767761162 0.0008 0.008
4.468333333333334	-0.11667874722354318 0.0008 0.008
4.501666666666666	-0.1489858017157777 0.0008 0.008
4.534999999999998	-0.1796719593881709 0.0008 0.008
4.568333333333331	-0.20857230608779329 0.0008 0.008
4.601666666666666	-0.23396743399338038 0.0008 0.008
4.635000000000002	-0.25688837767504025 0.0008 0.008
4.668333333333334	-0.2734975238542184 0.0008 0.008
4.701666666666666	-0.2868507785582673 0.0008 0.008
4.7349999999999985	-0.2964292724158469 0.0008 0.008
4.7683333333333335	-0.3001662544611812 0.0008 0.008
4.801666666666666	-0.2984508752635161 0.0008 0.008
4.835000000000002	-0.2916842732273322 0.0008 0.008
4.8683333333333305	-0.2809695062518168 0.0008 0.008
4.901666666666666	-0.2658038019375635 0.0008 0.008
4.934999999999998	-0.2453941248795249 0.0008 0.008
4.968333333333334	-0.22126033880247273 0.0008 0.008
5.001666666666666	-0.1939767265424966 0.0008 0.008
5.034999999999998	-0.16568059663685225 0.0008 0.008
5.068333333333331	-0.1338471751884228 0.0008 0.008
5.101666666666666	-0.1008677664913667 0.0008 0.008
5.135000000000002	-0.06703102913528086 0.0008 0.008
5.168333333333334	-0.032132388601242345 0.0008 0.008
5.201666666666666	0.0023444242883345293 0.0008 0.008
5.2349999999999985	0.035900562191010885 0.0008 0.008
5.2683333333333335	0.06921202331394861 0.0008 0.008
5.301666666666666	0.09970084192627802 0.0008 0.008
5.335000000000002	0.1283287699665761 0.0008 0.008
5.3683333333333305	0.15337346467697102 0.0008 0.008
5.401666666666666	0.175267638856271 0.0008 0.008
5.434999999999998	0.1951184228736006 0.0008 0.008
5.468333333333334	0.2099928873879788 0.0008 0.008
5.501666666666666	0.22071422207304076 0.0008 0.008
5.534999999999998	0.22834136662165164 0.0008 0.008
5.568333333333334	0.23012812077386072 0.0008 0.008
5.601666666666666	0.22845391854407213 0.0008 0.008
5.635000000000002	0.2228576818346015 0.0008 0.008
5.668333333333334	0.2119182154255248 0.0008 0.008
5.701666666666666	0.19756004875095196 0.0008 0.008
5.7349999999999985	0.17919785153197745 0.0008 0.008
5.7683333333333335	0.15778464583835244 0.0008 0.008
5.801666666666666	0.13216045587409636 0.0008 0.008
5.835000000000002	0.10477047454378548 0.0008 0.008
5.8683333333333305	0.07404572519317414 0.0008 0.008
5.901666666666666	0.04225004731082952 0.0008 0.008
5.934999999999998	0.00946516705795865 0.0008 0.008
5.968333333333334	-0.026246256076568365 0.0008 0.008
6.001666666666666	-0.05951111508192957 0.0008 0.008
6.034999999999998	-0.09396854888175177 0.0008 0.008
6.068333333333334	-0.12792021462804853 0.0008 0.008
6.101666666666666	-0.15770677575306055 0.0008 0.008
6.135000000000002	-0.1872663642905978 0.0008 0.008
6.168333333333334	-0.21253555610816777 0.0008 0.008
6.201666666666666	-0.23601616643540085 0.0008 0.008
