t	func 0.0008 0.008
0.0	-0.3060152533386696 0.0008 0.008
0.03333333333333394	-0.30206390132331773 0.0008 0.008
0.06666666666666606	-0.2908099385441658 0.0008 0.008
0.1	-0.2752353762888645 0.0008 0.008
0.1333333333333321	-0.25286742216609653 0.0008 0.008
0.16666666666666605	-0.22734611644938296 0.0008 0.008
0.2	-0.19634572197379307 0.0008 0.008
0.23333333333333395	-0.1621729520703031 0.0008 0.008
0.2666666666666679	-0.12387351081652567 0.0008 0.008
0.3	-0.08593812398684926 0.0008 0.008
0.3333333333333339	-0.044522739964631915 0.0008 0.008
0.36666666666666786	-0.004284091385446543 0.0008 0.008
0.4	0.03635579946160807 0.0008 0.008
0.43333333333333396	0.0741813947442725 0.0008 0.008
0.46666666666666606	0.11098325991702153 0.0008 0.008
0.5	0.14179638693336521 0.0008 0.008
0.533333333333334	0.17153611075112585 0.0008 0.008
0.5666666666666661	0.19629179249075818 0.0008 0.008
0.6	0.21679938172171373 0.0008 0.008
0.6333333333333321	0.23108154234234832 0.0008 0.008
0.6666666666666661	0.23973954149480511 0.0008 0.008
0.7	0.242535755650522 0.0008 0.008
0.733333333333334	0.24017880733117675 0.0008 0.008
0.7666666666666678	0.2306114365548945 0.0008 0.008
0.8	0.21686628765842916 0.0008 0.008
0.8333333333333339	0.19846928999417826 0.0008 0.008
0.8666666666666679	0.17340632904705777 0.0008 0.008
0.9	0.14595492637889163 0.0008 0.008
0.9333333333333339	0.11221374334841101 0.0008 0.008
0.966666666666666	0.07625523979147628 0.0008 0.008
1.0	0.03820769617089907 0.0008 0.008
1.0333333333333339	-0.002140834021178306 0.0008 0.008
1.066666666666666	-0.04222879038506357 0.0008 0.008
1.1	-0.08324087746028248 0.0008 0.008
1.1333333333333322	-0.12320714896446025 0.0008 0.008
1.166666666666666	-0.16047456130656756 0.0008 0.008
1.2	-0.19580097073070282 0.0008 0.008
1.2333333333333338	-0.22742676406671392 0.0008 0.008
1.266666666666668	-0.2555137953774322 0.0008 0.008
1.3	-0.27767907931257513 0.0008 0.008
1.333333333333334	-0.2958516073474967 0.0008 0.008
1.3666666666666678	-0.30848167281845795 0.0008 0.008
1.4	-0.31623454711276916 0.0008 0.008
1.433333333333334	-0.3159799503676279 0.0008 0.008
1.4666666666666661	-0.3105283123109919 0.0008 0.008
1.5	-0.2975987531652916 0.0008 0.008
1.5333333333333339	-0.2779702922804501 0.0008 0.008
1.566666666666666	-0.25655922608303305 0.0008 0.008
1.6	-0.22865791874863703 0.0008 0.008
1.6333333333333322	-0.19626309011188842 0.0008 0.008
1.666666666666666	-0.16232552839908984 0.0008 0.008
1.7	-0.12340876655839089 0.0008 0.008
1.7333333333333338	-0.08343804307775933 0.0008 0.008
1.766666666666668	-0.04235635990236314 0.0008 0.008
1.8	-0.0018120035768172974 0.0008 0.008
1.833333333333334	0.03565562276544426 0.0008 0.008
1.8666666666666678	0.07602263713545698 0.0008 0.008
1.9	0.11277199093035667 0.0008 0.008
1.933333333333334	0.14456257676626752 0.0008 0.008
1.9666666666666661	0.1740451734802209 0.0008 0.008
2.0	0.19716141697514886 0.0008 0.008
2.033333333333334	0.217595279327086 0.0008 0.008
2.066666666666666	0.2314210352174791 0.0008 0.008
